               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045233,            0.050069,            0.021586,             0.77947,             0.63822,             0.66879,             0.42641,            0.035638,            0.025936,            0.020009,           0.0075505,           0.0075505,             0.02995
                  37,             0.04471,            0.051848,            0.022255,             0.79885,             0.61945,             0.64347,             0.40002,            0.034273,            0.027059,            0.020098,           0.0077488,           0.0077488,            0.028049
                  38,            0.044264,             0.05203,            0.020964,             0.78668,             0.62741,             0.66591,             0.43854,            0.034108,            0.025613,            0.021328,           0.0079469,           0.0079469,            0.026147
                  39,            0.044436,            0.047456,            0.020091,             0.76028,             0.57869,             0.60414,             0.31732,            0.042552,            0.026745,             0.01845,           0.0081446,           0.0081446,            0.024245
                  40,            0.045958,            0.052165,             0.02039,              0.7529,             0.58022,             0.62838,             0.31648,            0.041329,            0.030056,            0.019907,            0.008342,            0.008342,            0.022342
                  41,            0.046268,             0.05363,            0.020344,             0.76545,             0.58132,             0.65095,             0.37434,            0.037195,            0.027006,            0.019343,           0.0085391,           0.0085391,            0.020439
                  42,            0.044842,            0.048425,            0.019291,             0.74245,             0.58186,              0.6033,             0.32988,            0.038632,            0.025682,             0.01918,           0.0087359,           0.0087359,            0.018536
                  43,               0.045,            0.047461,            0.019438,             0.77817,             0.56975,             0.63564,             0.34041,            0.039529,            0.025753,            0.019261,           0.0089323,           0.0089323,            0.016632
                  44,            0.045611,            0.052668,            0.019106,             0.70442,             0.59443,             0.61641,             0.33072,            0.039603,            0.027095,             0.01951,           0.0091285,           0.0091285,            0.014728
                  45,            0.046778,            0.053308,            0.018556,             0.68725,             0.62085,             0.67314,             0.40761,            0.036493,            0.025833,            0.019567,           0.0093243,           0.0093243,            0.012824
                  46,            0.044832,            0.051857,            0.018538,             0.82218,             0.58664,             0.67287,             0.40668,             0.03589,            0.030585,            0.017861,           0.0095198,           0.0095198,             0.01092
                  47,            0.042513,            0.050831,            0.018837,             0.77765,             0.57737,             0.65096,             0.36863,            0.036259,            0.025529,            0.018431,           0.0096475,           0.0096475,           0.0096475
                  48,            0.042357,            0.047606,            0.018025,             0.76626,             0.61032,             0.66116,             0.40475,            0.034264,            0.025055,            0.017006,           0.0096475,           0.0096475,           0.0096475
                  49,             0.04226,            0.050568,            0.016765,             0.82779,             0.65125,             0.68288,             0.45143,            0.032729,            0.024779,             0.01681,             0.00964,             0.00964,             0.00964
                  50,            0.041879,            0.046102,            0.017866,             0.79993,             0.59347,             0.65703,             0.38342,            0.034249,            0.025562,            0.017962,           0.0096325,           0.0096325,           0.0096325
                  51,            0.042503,             0.05094,             0.01716,             0.80858,             0.59906,             0.67582,             0.40642,            0.034399,            0.026265,            0.017057,            0.009625,            0.009625,            0.009625
                  52,            0.040182,            0.045619,            0.017038,             0.68498,             0.64062,             0.69291,             0.38985,            0.037283,            0.026602,            0.018233,           0.0096175,           0.0096175,           0.0096175
                  53,            0.041173,            0.049214,            0.016491,             0.79623,             0.61982,             0.66369,             0.39651,            0.032978,            0.026703,             0.01762,             0.00961,             0.00961,             0.00961
                  54,            0.036396,            0.044973,            0.017252,             0.88091,             0.59848,             0.69672,             0.46087,            0.032515,            0.026769,             0.01599,           0.0096025,           0.0096025,           0.0096025
                  55,             0.03801,            0.047578,            0.015989,             0.84108,             0.63329,             0.71918,             0.46499,             0.03356,            0.023867,            0.016202,            0.009595,            0.009595,            0.009595
                  56,            0.036598,            0.051701,            0.015712,              0.7638,             0.62413,             0.70069,             0.44868,            0.031879,            0.030764,             0.01909,           0.0095875,           0.0095875,           0.0095875
                  57,            0.036553,            0.049342,            0.015999,             0.76853,              0.6666,             0.73324,             0.49485,            0.031095,            0.025687,            0.015942,             0.00958,             0.00958,             0.00958
                  58,            0.037984,             0.04851,            0.016082,             0.83757,             0.64876,             0.71174,             0.45354,            0.032507,            0.025272,            0.016365,           0.0095725,           0.0095725,           0.0095725
